15:57:56 02_checks INFO ==== 02_checks | run 20260905-155755 | python 3.13.5 | pandas 2.2.3 | pyreadstat 1.3.4
15:59:00 02_checks INFO 
# Harmonization checks report

Generated by 02_checks.py.

## A. Completeness and no data loss (rows and native columns of the CURRENT source file)

| section | statistic | harmonised | reference | result |
| A | H_EICV_expenditure_frequent.dta rows | 2,504,958 | 2,504,958 | PASS |
| A | H_EICV_expenditure_frequent.dta native columns present | 80 | 80 | PASS |
| A | H_EICV_expenditure_monthly.dta rows | 3,930,484 | 3,930,484 | PASS |
| A | H_EICV_expenditure_monthly.dta native columns present | 53 | 53 | PASS |
| A | H_EICV_food.dta | skipped (disk space (declared limitation: see README)) | | n/a |
| A | H_EICV_household_vup.dta rows | 7,875 | 7,875 | PASS |
| A | H_EICV_household_vup.dta native columns present | 395 | 395 | PASS |
| A | H_EICV_jobs.dta rows | 242,787 | 242,787 | PASS |
| A | H_EICV_jobs.dta native columns present | 200 | 200 | PASS |
| A | H_EICV_land.dta rows | 545,978 | 545,978 | PASS |
| A | H_EICV_land.dta native columns present | 37 | 37 | PASS |
| A | H_EICV_livestock.dta rows | 345,131 | 345,131 | PASS |
| A | H_EICV_livestock.dta native columns present | 125 | 125 | PASS |
| A | H_EICV_livestock_expenditure.dta rows | 424,476 | 424,476 | PASS |
| A | H_EICV_livestock_expenditure.dta native columns present | 69 | 69 | PASS |
| A | H_EICV_livestock_products.dta rows | 317,188 | 317,188 | PASS |
| A | H_EICV_livestock_products.dta native columns present | 56 | 56 | PASS |
| A | H_EICV_other_expenditure.dta rows | 817,971 | 817,971 | PASS |
| A | H_EICV_other_expenditure.dta native columns present | 36 | 36 | PASS |
| A | H_EICV_other_income.dta rows | 1,612,233 | 1,612,233 | PASS |
| A | H_EICV_other_income.dta native columns present | 51 | 51 | PASS |
| A | H_EICV_own_consumption.dta | skipped (disk space (declared limitation: see README)) | | n/a |
| A | H_EICV_parcels.dta rows | 207,503 | 207,503 | PASS |
| A | H_EICV_parcels.dta native columns present | 123 | 123 | PASS |
| A | H_EICV_person_vup.dta rows | 32,241 | 32,241 | PASS |
| A | H_EICV_person_vup.dta native columns present | 511 | 511 | PASS |
| A | H_EICV_savings.dta rows | 153,527 | 153,527 | PASS |
| A | H_EICV_savings.dta native columns present | 87 | 87 | PASS |
| A | H_EICV_services.dta rows | 1,041,332 | 1,041,332 | PASS |
| A | H_EICV_services.dta native columns present | 71 | 71 | PASS |
| A | H_EICV_tontine.dta rows | 46,829 | 46,829 | PASS |
| A | H_EICV_tontine.dta native columns present | 26 | 26 | PASS |
| A | H_EICV_transfers_in.dta rows | 356,505 | 356,505 | PASS |
| A | H_EICV_transfers_in.dta native columns present | 97 | 97 | PASS |
| A | H_EICV_transfers_out.dta rows | 406,722 | 406,722 | PASS |
| A | H_EICV_transfers_out.dta native columns present | 91 | 91 | PASS |
| A | H_EC_establishment.dta rows | 896,710 | 896,710 | PASS |
| A | H_EC_establishment.dta native columns present | 265 | 265 | PASS |
| A | H_AHS_household.dta rows | 30,447 | 30,447 | PASS |
| A | H_AHS_household.dta native columns present | 459 | 459 | PASS |
| A | H_AHS_person.dta rows | 138,683 | 138,683 | PASS |
| A | H_AHS_person.dta native columns present | 187 | 187 | PASS |
| A | H_AHS_animal_inputs.dta rows | 49,750 | 49,750 | PASS |
| A | H_AHS_animal_inputs.dta native columns present | 52 | 52 | PASS |
| A | H_AHS_credits.dta rows | 31,947 | 31,947 | PASS |
| A | H_AHS_credits.dta native columns present | 89 | 89 | PASS |
| A | H_AHS_eggs.dta rows | 58,853 | 58,853 | PASS |
| A | H_AHS_eggs.dta native columns present | 49 | 49 | PASS |
| A | H_AHS_extension.dta rows | 98,843 | 98,843 | PASS |
| A | H_AHS_extension.dta native columns present | 74 | 74 | PASS |
| A | H_AHS_fruits.dta rows | 29,239 | 29,239 | PASS |
| A | H_AHS_fruits.dta native columns present | 39 | 39 | PASS |
| A | H_AHS_honey.dta rows | 38,465 | 38,465 | PASS |
| A | H_AHS_honey.dta native columns present | 59 | 59 | PASS |
| A | H_AHS_inputs.dta rows | 26,723 | 26,723 | PASS |
| A | H_AHS_inputs.dta native columns present | 246 | 246 | PASS |
| A | H_AHS_land.dta rows | 72,211 | 72,211 | PASS |
| A | H_AHS_land.dta native columns present | 91 | 91 | PASS |
| A | H_AHS_livestock.dta rows | 65,808 | 65,808 | PASS |
| A | H_AHS_livestock.dta native columns present | 119 | 119 | PASS |
| A | H_AHS_milk.dta rows | 59,594 | 59,594 | PASS |
| A | H_AHS_milk.dta native columns present | 78 | 78 | PASS |
| A | H_AHS_tools.dta rows | 372,184 | 372,184 | PASS |
| A | H_AHS_tools.dta native columns present | 34 | 34 | PASS |
| A | H_SAS_plotcrop.dta rows | 632,756 | 632,756 | PASS |
| A | H_SAS_plotcrop.dta native columns present | 299 | 299 | PASS |
| A | H_SAS_plotcrop_2013_2016.dta rows | 1,122,323 | 1,122,323 | PASS |
| A | H_SAS_plotcrop_2013_2016.dta native columns present | 84 | 84 | PASS |
| A | H_SAS_agricultural_practice.dta rows | 264,781 | 264,781 | PASS |
| A | H_SAS_agricultural_practice.dta native columns present | 162 | 162 | PASS |
| A | H_SAS_antierosion_2017_2018.dta rows | 64,405 | 64,405 | PASS |
| A | H_SAS_antierosion_2017_2018.dta native columns present | 18 | 18 | PASS |
| A | H_SAS_farmq_part0_2013_2016.dta rows | 28,051 | 28,051 | PASS |
| A | H_SAS_farmq_part0_2013_2016.dta native columns present | 17 | 17 | PASS |
| A | H_SAS_farmq_part2a_2013_2016.dta rows | 68,996 | 68,996 | PASS |
| A | H_SAS_farmq_part2a_2013_2016.dta native columns present | 18 | 18 | PASS |
| A | H_SAS_farmq_part2b_2013_2016.dta rows | 30,995 | 30,995 | PASS |
| A | H_SAS_farmq_part2b_2013_2016.dta native columns present | 15 | 15 | PASS |
| A | H_SAS_farmq_part2b_fertilizer_2013_2016.dta rows | 28,878 | 28,878 | PASS |
| A | H_SAS_farmq_part2b_fertilizer_2013_2016.dta native columns present | 14 | 14 | PASS |
| A | H_SAS_farmq_part2b_pesticide_2013_2016.dta rows | 28,883 | 28,883 | PASS |
| A | H_SAS_farmq_part2b_pesticide_2013_2016.dta native columns present | 10 | 10 | PASS |
| A | H_SAS_farmq_part4_2013_2016.dta rows | 57,511 | 57,511 | PASS |
| A | H_SAS_farmq_part4_2013_2016.dta native columns present | 22 | 22 | PASS |
| A | H_SAS_farmq_part6a_2013_2016.dta rows | 544,313 | 544,313 | PASS |
| A | H_SAS_farmq_part6a_2013_2016.dta native columns present | 15 | 15 | PASS |
| A | H_SAS_farmq_part7_2013_2016.dta rows | 34,626 | 34,626 | PASS |
| A | H_SAS_farmq_part7_2013_2016.dta native columns present | 31 | 31 | PASS |
| A | H_SAS_fertilizers_2017_2018.dta rows | 84,986 | 84,986 | PASS |
| A | H_SAS_fertilizers_2017_2018.dta native columns present | 35 | 35 | PASS |
| A | H_SAS_fertilizers_pesticides.dta rows | 305,316 | 305,316 | PASS |
| A | H_SAS_fertilizers_pesticides.dta native columns present | 241 | 241 | PASS |
| A | H_SAS_irrigation_land_tenure_2017_2018.dta rows | 52,621 | 52,621 | PASS |
| A | H_SAS_irrigation_land_tenure_2017_2018.dta native columns present | 59 | 59 | PASS |
| A | H_SAS_lsf_farmq_part2a_2013_2016.dta rows | 2,036 | 2,036 | PASS |
| A | H_SAS_lsf_farmq_part2a_2013_2016.dta native columns present | 14 | 14 | PASS |
| A | H_SAS_lsf_farmq_part2b_2013_2016.dta rows | 2,081 | 2,081 | PASS |
| A | H_SAS_lsf_farmq_part2b_2013_2016.dta native columns present | 15 | 15 | PASS |
| A | H_SAS_pesticides_2017_2018.dta rows | 95,146 | 95,146 | PASS |
| A | H_SAS_pesticides_2017_2018.dta native columns present | 31 | 31 | PASS |
| A | H_SAS_screening_2017_2018.dta rows | 243,835 | 243,835 | PASS |
| A | H_SAS_screening_2017_2018.dta native columns present | 47 | 47 | PASS |
| A | H_SAS_screening_agroforestry.dta rows | 263,633 | 263,633 | PASS |
| A | H_SAS_screening_agroforestry.dta native columns present | 30 | 30 | PASS |
| A | H_SAS_screening_antierosion.dta rows | 287,508 | 287,508 | PASS |
| A | H_SAS_screening_antierosion.dta native columns present | 29 | 29 | PASS |
| A | H_SAS_screening_crops.dta rows | 752,156 | 752,156 | PASS |
| A | H_SAS_screening_crops.dta native columns present | 112 | 112 | PASS |
| A | H_CFSVA_child.dta rows | 35,764 | 35,764 | PASS |
| A | H_CFSVA_child.dta native columns present | 1,388 | 1,388 | PASS |
| A | H_CFSVA_household.dta rows | 50,890 | 50,890 | PASS |
| A | H_CFSVA_household.dta native columns present | 4,825 | 4,825 | PASS |
| A | H_CFSVA_village.dta rows | 3,812 | 3,812 | PASS |
| A | H_CFSVA_village.dta native columns present | 508 | 508 | PASS |
| A | H_CFSVA_woman.dta rows | 31,038 | 31,038 | PASS |
| A | H_CFSVA_woman.dta native columns present | 813 | 813 | PASS |
| A | files tested against their source (must be > 0) | 75 | 75 | PASS |

## B. Keys

| section | statistic | harmonised | reference | result |
|---|---|---:|---:|---|
| B | H_LFS_household.dta: rows with a household key (informational) | 166,772 |  | n/a |
| B | H_LFS_household.dta: h_hhkey unique (household file) | 166,772 | 166,772 | PASS |
| B | H_Census_household.dta: rows with a household key (informational) | 750,115 |  | n/a |
| B | H_Census_household.dta: h_hhkey unique (household file) | 750,115 | 750,115 | PASS |
| B | H_EICV_household.dta: rows with a household key (informational) | 71,681 |  | n/a |
| B | H_EICV_household.dta: h_hhkey unique (household file) | 71,681 | 71,681 | PASS |
| B | H_EICV_household_vup.dta: rows with a household key (informational) | 7,875 |  | n/a |
| B | H_EICV_household_vup.dta: h_hhkey unique (household file) | 7,875 | 7,875 | PASS |
| B | H_AHS_household.dta: rows with a household key (informational) | 30,447 |  | n/a |
| B | H_AHS_household.dta: h_hhkey unique (household file) | 30,447 | 30,447 | PASS |
| B | H_CFSVA_household.dta: rows with a household key (informational) | 50,890 |  | n/a |
| B | H_CFSVA_household.dta: h_hhkey unique (household file) | 50,890 | 50,890 | PASS |
| B | H_LFS_person.dta: rows with a household key (informational) | 691,162 |  | n/a |
| B | H_LFS_person.dta: duplicated non-blank h_pkey (allowed: 3 = NISR duplicate person numbers) | 3 | 3 | PASS |
| B | H_Census_person.dta: rows with a household key (informational) | 3,149,099 |  | n/a |
| B | H_Census_person.dta: duplicated non-blank h_pkey (allowed: 0 = NISR duplicate person numbers) | 0 | 0 | PASS |
| B | H_EICV_person.dta: rows with a household key (informational) | 327,841 |  | n/a |
| B | H_EICV_person.dta: duplicated non-blank h_pkey (allowed: 0 = NISR duplicate person numbers) | 0 | 0 | PASS |
| B | H_EICV_person_vup.dta: rows with a household key (informational) | 32,241 |  | n/a |
| B | H_EICV_person_vup.dta: duplicated non-blank h_pkey (allowed: 0 = NISR duplicate person numbers) | 0 | 0 | PASS |
| B | H_AHS_person.dta: rows with a household key (informational) | 138,683 |  | n/a |
| B | H_AHS_person.dta: duplicated non-blank h_pkey (allowed: 0 = NISR duplicate person numbers) | 0 | 0 | PASS |
| B | H_CFSVA_child.dta: rows with a household key (informational) | 31,706 |  | n/a |
| B | H_CFSVA_child.dta 2006: household keys found in H_CFSVA_household (share x 1000; must be >= 900) | 1,000 | 1,000 | PASS |
| B | H_CFSVA_child.dta 2009: household keys found in H_CFSVA_household (share x 1000; must be >= 900) | 1,000 | 1,000 | PASS |
| B | H_CFSVA_child.dta 2012: household keys found in H_CFSVA_household (share x 1000; must be >= 900) | 939 | 1,000 | PASS |
| B | H_CFSVA_child.dta 2015: rows with a household key (stand-alone nutrition files: must be 0) | 0 | 0 | PASS |
| B | H_CFSVA_child.dta 2018: household keys found in H_CFSVA_household (share x 1000; must be >= 900) | 1,000 | 1,000 | PASS |
| B | H_CFSVA_child.dta 2021: household keys found in H_CFSVA_household (share x 1000; must be >= 900) | 1,000 | 1,000 | PASS |
| B | H_CFSVA_child.dta 2024: household keys found in H_CFSVA_household (share x 1000; must be >= 900) | 1,000 | 1,000 | PASS |
| B | H_CFSVA_woman.dta: rows with a household key (informational) | 24,270 |  | n/a |
| B | H_CFSVA_woman.dta 2006: household keys found in H_CFSVA_household (share x 1000; must be >= 900) | 1,000 | 1,000 | PASS |
| B | H_CFSVA_woman.dta 2009: household keys found in H_CFSVA_household (share x 1000; must be >= 900) | 1,000 | 1,000 | PASS |
| B | H_CFSVA_woman.dta 2012: household keys found in H_CFSVA_household (share x 1000; must be >= 900) | 1,000 | 1,000 | PASS |
| B | H_CFSVA_woman.dta 2015: rows with a household key (stand-alone nutrition files: must be 0) | 0 | 0 | PASS |
| B | H_CFSVA_woman.dta 2024: household keys found in H_CFSVA_household (share x 1000; must be >= 900) | 1,000 | 1,000 | PASS |

## C. Concepts recomputed independently vs h_* (second route)

| section | statistic | harmonised | independent | result |
|---|---|---:|---:|---|
| C | LFS: h_sex == sex on every row | 724,015 | 724,015 | PASS |
| C | LFS: h_lfstatus == status1 on rows with an observed status | 455,670 | 455,670 | PASS |
| C | LFS: h_employed == (status1 == 1) on rows with an observed status | 455,670 | 455,670 | PASS |
| C | LFS: h_employed missing exactly where status1 is missing | 268,345 | 268,345 | PASS |
| C | LFS: household-interviews with exactly one head (h_relation == 1), share x 1000 | 1,000 | 1,000 | PASS |
| C | LFS 2024: h_relation == independent recode of the 14-code list (a02_v2) | 102,562 | 102,562 | PASS |
| C | LFS 2025: h_relation == independent recode of the 14-code list (a02_v2) | 100,852 | 100,852 | PASS |
| C | Census: h_sex == sex | 3,165,816 | 3,165,816 | PASS |
| C | Census 2012: h_lfstatus == independent recode of rp2024 + P23 (code 9 by availability) | 883,622 | 883,622 | PASS |
| C | Census 2012: code-9 persons available for work classified unemployed (6,471) | 6,471 | 6,471 | PASS |
| C | Census 2002: h_lfstatus == independent recode of p21 (8 jobless -> unemployed) | 607,987 | 607,987 | PASS |
| C | Census: private households with exactly one head, share x 1000 | 1,000 | 1,000 | PASS |
| C | Census 2022: h_marital == independent recode of p06 | 910,862 | 910,862 | PASS |
| C | Census 2012: h_marital == independent recode of p29_v2 | 681,318 | 681,318 | PASS |
| C | EICV: h_sex == sex | 327,841 | 327,841 | PASS |
| C | EICV4: h_lfstatus == independent recode of lfs6 | 55,061 | 55,061 | PASS |
| C | EICV1/2: h_lfstatus == independent recode of econstatus | 52,326 | 52,326 | PASS |
| C | EICV3: h_lfstatus == independent recode of the five work items (VUP 3 = no) | 56,091 | 56,091 | PASS |
| C | EICV3: nonworkers with VUP item = 3 left missing (must be 0) | 0 | 0 | PASS |
| C | EICV3: weighted employment / population ratio 16+ with a status (%; informational: was 95.1 before the fix) | 84 |  | n/a |
| C | EICV: rows with h_educ = tertiary and s2aq3_v3 in (90, 98, 99) (must be 0) | 0 | 0 | PASS |
| C | EICV: rows with h_educ = tertiary and s2cq3_v3 in (90, 98, 99) (must be 0) | 0 | 0 | PASS |
| C | EICV: rows with h_educ = tertiary and s4aq2_v5 in (90, 98, 99) (must be 0) | 0 | 0 | PASS |
| C | EICV: rows with h_educ = tertiary and s2aq3_v2 in (90, 98, 99) (must be 0) | 0 | 0 | PASS |
| C | EICV: rows with h_educ = tertiary and s2cq3_v2 in (90, 98, 99) (must be 0) | 0 | 0 | PASS |
| C | EICV: rows with h_educ = tertiary and s2aq3 in (90, 98, 99) (must be 0) | 0 | 0 | PASS |
| C | EICV: rows with h_educ = tertiary and s2cq3 in (90, 98, 99) (must be 0) | 0 | 0 | PASS |
| C | EICV: rows with h_educ = tertiary and s4aq2_v4 in (90, 98, 99) (must be 0) | 0 | 0 | PASS |
| C | EICV: rows with h_educ = tertiary and s4aq2_v3 in (90, 98, 99) (must be 0) | 0 | 0 | PASS |
| C | EICV: rows with h_educ = tertiary and s4aq2_v2 in (90, 98, 99) (must be 0) | 0 | 0 | PASS |
| C | EICV: rows with h_educ = tertiary and s4aq2 in (90, 98, 99) (must be 0) | 0 | 0 | PASS |
| C | EICV: rows with h_educ = tertiary and s4aq2a in (90, 98, 99) (must be 0) | 0 | 0 | PASS |
| C | EICV: rows with h_educ = tertiary and s4aq20 in (90, 98, 99) (must be 0) | 0 | 0 | PASS |
| C | EICV: households with exactly one head, share x 1000 | 1,000 | 1,000 | PASS |

## D. Weighted employment-to-population ratio, persons aged 16+ (informational: definitions differ, see h_lfs_def)

| section | dataset / wave | h_lfs_def | employed 16+ / population 16+ with a status (%) | employed persons (weighted; LFS annual weights already average the rounds) | result |
|---|---|---|---:|---:|---|
| D | LFS_person 2017 | 1 | 44.2 | 2,989,249 | n/a |
| D | LFS_person 2018 | 1 | 46.0 | 3,207,336 | n/a |
| D | LFS_person 2019 | 1 | 45.3 | 3,273,921 | n/a |
| D | LFS_person 2020 | 1 | 46.3 | 3,460,860 | n/a |
| D | LFS_person 2021 | 1 | 42.6 | 3,287,697 | n/a |
| D | LFS_person 2022 | 1 | 44.5 | 3,546,352 | n/a |
| D | LFS_person 2023 | 1 | 49.0 | 3,958,817 | n/a |
| D | LFS_person 2024 | 1 | 53.5 | 4,444,684 | n/a |
| D | LFS_person 2025 | 1 | 55.9 | 4,772,705 | n/a |
| D | Census_person 2002 | 2 | 77.8 | 3,209,626 | n/a |
| D | Census_person 2012 | 3 | 71.0 | 4,151,298 | n/a |
| D | EICV_person EICV1 | 4 | 86.7 | 3,570,734 | n/a |
| D | EICV_person EICV2 | 4 | 84.0 | 4,299,206 | n/a |
| D | EICV_person EICV3 | 5 | 84.3 | 4,959,170 | n/a |
| D | EICV_person EICV4_CS | 6 | 85.6 | 5,478,572 | n/a |
| D | EICV_person EICV5_CS | 5 | 86.2 | 5,825,473 | n/a |
| D | EICV_person EICV7_CS | 7 | 80.4 | 6,591,830 | n/a |
| D | AHS_person 2017 | 8 | 83.8 | 4,496,557 | n/a |
| D | AHS_person 2020 | 8 | 84.4 | 5,143,622 | n/a |
| D | AHS_person 2024 | 7 | 82.7 | 4,741,217 | n/a |

**All checks passed.**
15:59:00 02_checks INFO 02_checks done
15:59:01 03_codebook INFO ==== 03_codebook | run 20260905-155755 | python 3.13.5 | pandas 2.2.3 | pyreadstat 1.3.4
15:59:23 03_codebook INFO wrote /Users/matteo/Library/CloudStorage/Dropbox/1-Ongoing Projects/Rwanda - TRS/data/Publicly-Available-NISR/Harmonized/CODEBOOK_Harmonized.xlsx (77 files, 87 code rows, 429 count rows, 355 map rows)
15:59:23 03_codebook INFO wrote Harmonized/README.txt
15:59:23 03_codebook INFO 03_codebook done
